/content/tts-engine/gdrive/My Drive/wavs/001001.wav|be nAm xodAvand baxSande baxSAyeSgar
/content/tts-engine/gdrive/My Drive/wavs/001002.wav|setAyeS maxsus xodAvandi est ke parvardegAr jahAniyAn est
/content/tts-engine/gdrive/My Drive/wavs/001003.wav|xodAvandi ke baxSande va baxSAyeSgar est va rahmat Am va xAseS hamegAn rA ferA gerefte
/content/tts-engine/gdrive/My Drive/wavs/001004.wav|xodAvandi ke mAlek ruz jezAsat
/content/tts-engine/gdrive/My Drive/wavs/001005.wav|parvardegArA tanahA to rA miparastim va tanahA az to yAri mijuyim
/content/tts-engine/gdrive/My Drive/wavs/001006.wav|mA rA be rAh rAst hedAyat kan
/content/tts-engine/gdrive/My Drive/wavs/001007.wav|rAh kasAni ke AnAn rA maSmul ne?mat xod sAxti noh kasAni ke bor AnAn qazab kardei va noh gomrAhAn
/content/tts-engine/gdrive/My Drive/wavs/002001.wav|alam bozorg est xodAvandi ke in ketAb azim rA az horuf sAde alefbA be vojud Avarde
/content/tts-engine/gdrive/My Drive/wavs/002002.wav|An ketAb bA ezmati est ke Sak dar An rAh nadArad va mAye hedAyat parhizkArAn est
/content/tts-engine/gdrive/My Drive/wavs/002003.wav|parhizkArAn kasAni hastand ke be qeyb AnCe az hes puSide va penhAn este imAn miAvarand va namAz rA barpA midArand va az tamAm ne?mathA va mavAhebi ke be AnAn ruzi dAdeim anfAq mikanand
/content/tts-engine/gdrive/My Drive/wavs/002004.wav|va AnAn ke be AnCe bor to nAzel Sode va AnCe piS az to bor payAmbarAn piSin nAzel gardide imAn miAvarand va be rastAxiz yaqin dArand
/content/tts-engine/gdrive/My Drive/wavs/002005.wav|AnAn bor tariq hedAyat parvardegArSAnand va AnAn rastegArAnand
/content/tts-engine/gdrive/My Drive/wavs/002006.wav|kasAni ke kAfar Sodand barAy AnAn tafAvot nemikanad ke AnAn rA az azAb elAhi betarsAni yA natarsAni imAn naxAhand Avarad
/content/tts-engine/gdrive/My Drive/wavs/002007.wav|xodA bor delhA va guShAy AnAn mehr nahAde va bor CeSmhAyeSAn pardei Afkande Sode va azAb bozorgi dar entezAr AnhAst
/content/tts-engine/gdrive/My Drive/wavs/002008.wav|goruhi az mardom kasAni hastand ke miguyand be xodA va ruz rastAxiz imAn Avardeim dar hAli ke imAn nadArand
/content/tts-engine/gdrive/My Drive/wavs/002009.wav|mixAhand xodA va mo?menAn rA farib dahand dar hAli ke joz xodeSAn rA farib nemidahand amA nemifahmand
/content/tts-engine/gdrive/My Drive/wavs/002010.wav|dar delhAy AnAn yek no? bimAri est xodAvand bor bimAri AnAn Afzude va be xAter doruqhAyi ke migoftand azAb dardnAki dar entezAr AnhAst
/content/tts-engine/gdrive/My Drive/wavs/002011.wav|va hengAmi ke be AnAn gofte Savad dar zamin fesAd nakanid miguyand mA faqat eslAhkonandei
/content/tts-engine/gdrive/My Drive/wavs/002012.wav|AgAh bASid inhA hamAn mofsedAnand vali nemifahmand
/content/tts-engine/gdrive/My Drive/wavs/002013.wav|va hengAmi ke be AnAn gofte Savad hamAnand sAyere mardom imAn biyAvarid miguyand AyA hamCon ablahAn imAn biyAvarim bedAnid inhA hamAn ablahAnand vali nemidAnand
/content/tts-engine/gdrive/My Drive/wavs/002014.wav|va hengAmi ke efrAd bA_?imAn rA molAqAt mikanand va miguyand mA imAn Avardeim vali hengAmi ke bA SeytAnhAye xod xalvat mikanand miguyand mA bA SomA?im mA faqat AnhA rA masxare mikanim
/content/tts-engine/gdrive/My Drive/wavs/002015.wav|xodAvand AnAn rA estehzA mikand va AnhA rA dar toqyAnSAn negah midArad tA sargardAn Savand
/content/tts-engine/gdrive/My Drive/wavs/002016.wav|AnAn kasAni hastand ke hedAyat rA be gomrAhi foruxteand va in tejArat AnhA sudi nadAde va hedAyat nayAfteand
/content/tts-engine/gdrive/My Drive/wavs/002018.wav|AnhA karAn gonghA va kurAnand lezA az rAh xatA bAznemigardand
/content/tts-engine/gdrive/My Drive/wavs/002021.wav|ey mardom parvardegAr xod rA parasteS kanid An kas ke SomA va kasAni rA ke piS az SomA budand Afarid tA parhizkAr Savid
/content/tts-engine/gdrive/My Drive/wavs/002023.wav|va agar dar bAre AnCe bor bande xod payAmbar nAzel kardeim Sak va tardid dArid dast kam yek sure hamAnand An biyAvarid va govAhAn xod rA qeyr xodA barAy in kAr ferA xAnid agar rAst miguyid
/content/tts-engine/gdrive/My Drive/wavs/002024.wav|pas agar Cenin nakanid ke hargez naxAhid kord az AtaSi betarsid ke hizom An badnahAy mardom gonahkAr va sanghA bethA est va barAy kAfarAn AmAde Sode est
/content/tts-engine/gdrive/My Drive/wavs/002027.wav|fAseqAn kasAni hastand ke peymAn xodA rA pas az mohkam sAxtan An miSkanand va peyvandhAyi rA ke xodA dastur dAde barqarAr sAzand qat? nomude va dar ruy zamin fesAd mikanand inhA ziyAnkArAnand
/content/tts-engine/gdrive/My Drive/wavs/002028.wav|Cegune be xodAvand kAfar miSuyad dar hAli ke SomA mordegAn va ajsAm biruhi budid va u SomA rA zende kord sepas SomA rA mimirAnad va bAr digar SomA rA zende mikand sepas be suy u bAzgardAnade miSavidbanAbar in noh hayAt va zendegi SomA az SemAsat va noh margatAn AnCe dArid az xodAsat
/content/tts-engine/gdrive/My Drive/wavs/002029.wav|u xodAyi est ke hame AnCe rA az ne?mathA dar zamin vojud dArad barAy SomA Afarid sepas be AsemAn pardAxt va AnhA rA be surat haft AsemAn moratab nomud va u be har Ciz AgAh est
/content/tts-engine/gdrive/My Drive/wavs/002031.wav|sepas elm asmA elm asrAr AfarineS va nAmgozAri mojudAt rA hamegi be Adam Amuxt ba?d AnhA rA be fereStegAn arze dASt va farmud agar rAst miguyid asAmi inhA rA be man xabar dahid
/content/tts-engine/gdrive/My Drive/wavs/002032.wav|fereStegAn arz kardand monzahi to mA Cizi joz AnCe be mA ta?lim dAdei nemidAnim to dAnA va hakimi
/content/tts-engine/gdrive/My Drive/wavs/002034.wav|va yAd kan hengAmi rA ke be fereStegAn goftim barAy Adam sajde va xozu? kanid hamegi sajde kardand joz eblis ke sar bAz zad va takabor varzid va be xAter nAfarmAni va takaborS az kAfarAn Sod
/content/tts-engine/gdrive/My Drive/wavs/002035.wav|va goftim ey Adam to bA hamserat dar beheSt sokunat kan va az ne?mathAye An az har jA mixAhid govArA bexorid amA nazdike in deraxt naSavid ke az setamgarAn xAhid Sod
/content/tts-engine/gdrive/My Drive/wavs/002037.wav|sepas Adam az parvardegAreS kalamAti daryAft dASt va bA AnhA tobe kord va xodAvand tobe u rA paziroft CarA ke xodAvand tobepazir va mehrbAn est
/content/tts-engine/gdrive/My Drive/wavs/002038.wav|goftim hamegi az An forud Ayid hargAh hedAyati az taraf man barAy SomA Amad kasAni ke az An peyravi konand noh tarsi bor AnhAst va noh qamgin Savand
/content/tts-engine/gdrive/My Drive/wavs/002039.wav|va kasAni ke kAfar Sodand va AyAt mA rA doruq pendAStand ahl duzxand va hamiSe dar An xAhand bud
